nama_usaha,kategori,deskripsi,latitude,longitude,kontak_wa,link_foto,link_gmaps,id_unik,produk_unggulan,jam_operasional,cerita_umkm
"Sate Berkah #11",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.157341,111.906209,081234567111,,,umkm-test-11,"Minyak Goreng, Sembako",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Sate Berkah #11 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bakso Rasa #12",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.148177,111.914804,081234567112,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-12,"Gorengan Hangat, Es Teh",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Bakso Rasa #12 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Anyaman Barokah #13",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.148766,111.912238,081234567113,,,umkm-test-13,"Gorengan Hangat, Es Teh",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Anyaman Barokah #13 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Batik Indah #14",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.153068,111.895115,081234567114,,,umkm-test-14,"Caping, Kain Batik, Tampah",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Batik Indah #14 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Fotokopi Rasa #15",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.148417,111.902543,081234567115,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-15,"Tampah, Keranjang Bambu, Caping",10:00 - 22:00,"Ini adalah kisah perjuangan UMKM Fotokopi Rasa #15 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Soto Sumber Rejeki #16",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.141376,111.900660,081234567116,,,umkm-test-16,"Instalasi Listrik, Jahit Baju, Cuci Pakaian",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Soto Sumber Rejeki #16 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Tani Barokah #17",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.143578,111.894711,081234567117,,,umkm-test-17,"Caping, Hiasan Dinding, Tampah",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Tani Barokah #17 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Sate Berkah #18",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.157064,111.906524,081234567118,,,umkm-test-18,"Minyak Goreng, Gula Pasir, Beras Premium",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Sate Berkah #18 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bakso Berkah #19",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.150871,111.893231,081234567119,,,umkm-test-19,"Gula Pasir, Sembako",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Bakso Berkah #19 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Batik Nikmat #20",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.154475,111.892338,081234567120,,,umkm-test-20,"Potong Rambut, Instalasi Listrik, Servis Elektronik",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Batik Nikmat #20 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Anyaman Mandiri #21",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.147412,111.893653,081234567121,,,umkm-test-21,"Cuci Pakaian, Potong Rambut",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Anyaman Mandiri #21 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Fotokopi Murni #22",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.140931,111.910204,081234567122,,,umkm-test-22,"Sembako, Gula Pasir",10:00 - 22:00,"Ini adalah kisah perjuangan UMKM Fotokopi Murni #22 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Anyaman Lancar #23",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.147181,111.895027,081234567123,,,umkm-test-23,"Pupuk Organik, Bibit Padi",10:00 - 22:00,"Ini adalah kisah perjuangan UMKM Anyaman Lancar #23 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Anyaman Sumber Rejeki #24",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.141347,111.914097,081234567124,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-24,"Gorengan Hangat, Nasi Pecel, Soto Ayam",10:00 - 22:00,"Ini adalah kisah perjuangan UMKM Anyaman Sumber Rejeki #24 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Toko Barokah #25",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.152117,111.909211,081234567125,,,umkm-test-25,"Bakso Urat, Gorengan Hangat",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Toko Barokah #25 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Laundry Subur #26",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.155479,111.914462,081234567126,,,umkm-test-26,"Pestisida Alami, Pupuk Organik",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Laundry Subur #26 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Sate Sari #27",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.148797,111.896632,081234567127,,,umkm-test-27,"Gorengan Hangat, Sate Kambing",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Sate Sari #27 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Salon Subur #28",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.151631,111.901868,081234567128,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-28,"Pestisida Alami, Pupuk Organik, Alat Tani",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Salon Subur #28 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Depot Mandiri #29",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.142110,111.910597,081234567129,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-29,"Cuci Pakaian, Servis Elektronik",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Depot Mandiri #29 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Jahit Jaya #30",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.153234,111.893385,081234567130,,,umkm-test-30,"Pestisida Alami, Bibit Jagung, Alat Tani",10:00 - 22:00,"Ini adalah kisah perjuangan UMKM Jahit Jaya #30 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bibit Lancar #31",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.144129,111.910835,081234567131,,,umkm-test-31,"Kain Batik, Hiasan Dinding, Keranjang Bambu",10:00 - 22:00,"Ini adalah kisah perjuangan UMKM Bibit Lancar #31 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Soto Mandiri #32",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.147451,111.900580,081234567132,,,umkm-test-32,"Sate Kambing, Nasi Pecel",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Soto Mandiri #32 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Nasi Goreng Barokah #33",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.157070,111.911031,081234567133,,,umkm-test-33,"Gula Pasir, Minyak Goreng, Gas LPG 3kg",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Nasi Goreng Barokah #33 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bakso Sejahtera #34",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.152455,111.894106,081234567134,,,umkm-test-34,"Sembako, Beras Premium, Minyak Goreng",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Bakso Sejahtera #34 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Pupuk Sejahtera #35",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.150723,111.910163,081234567135,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-35,"Instalasi Listrik, Servis Elektronik",10:00 - 22:00,"Ini adalah kisah perjuangan UMKM Pupuk Sejahtera #35 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Sate Berkah #36",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.157147,111.893515,081234567136,,,umkm-test-36,"Alat Tani, Bibit Jagung",10:00 - 22:00,"Ini adalah kisah perjuangan UMKM Sate Berkah #36 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Toko Subur #37",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.142341,111.896371,081234567137,,,umkm-test-37,"Gas LPG 3kg, Gula Pasir, Sembako",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Toko Subur #37 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Jahit Jaya #38",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.151909,111.909375,081234567138,,,umkm-test-38,"Potong Rambut, Jahit Baju",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Jahit Jaya #38 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bibit Berkah #39",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.148490,111.903622,081234567139,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-39,"Servis Elektronik, Potong Rambut, Cuci Pakaian",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Bibit Berkah #39 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Salon Sejahtera #40",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.151657,111.899850,081234567140,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-40,"Gas LPG 3kg, Minyak Goreng, Beras Premium",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Salon Sejahtera #40 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Batik Lestari #41",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.140211,111.907465,081234567141,,,umkm-test-41,"Soto Ayam, Sate Kambing",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Batik Lestari #41 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bengkel Sumber Rejeki #42",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.145110,111.904840,081234567142,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-42,"Servis Elektronik, Potong Rambut, Cuci Pakaian",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Bengkel Sumber Rejeki #42 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bengkel Sari #43",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.157704,111.894816,081234567143,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-43,"Pupuk Organik, Bibit Jagung",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Bengkel Sari #43 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Salon Lestari #44",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.146713,111.913570,081234567144,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-44,"Sembako, Gas LPG 3kg, Beras Premium",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Salon Lestari #44 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bengkel Subur #45",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.152090,111.909780,081234567145,,,umkm-test-45,"Potong Rambut, Cuci Pakaian",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Bengkel Subur #45 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Fotokopi Rasa #46",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.144572,111.903076,081234567146,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-46,"Servis Elektronik, Instalasi Listrik",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Fotokopi Rasa #46 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Batik Barokah #47",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.153359,111.896694,081234567147,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-47,"Caping, Kain Batik, Hiasan Dinding",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Batik Barokah #47 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Nasi Goreng Murni #48",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.142219,111.895472,081234567148,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-48,"Sembako, Gula Pasir, Minyak Goreng",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Nasi Goreng Murni #48 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Salon Lancar #49",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.144221,111.896787,081234567149,,,umkm-test-49,"Cuci Pakaian, Jahit Baju",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Salon Lancar #49 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Salon Murni #50",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.143750,111.894026,081234567150,,,umkm-test-50,"Potong Rambut, Instalasi Listrik, Cuci Pakaian",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Salon Murni #50 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Batik Sentosa #51",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.152309,111.898938,081234567151,,,umkm-test-51,"Minyak Goreng, Gas LPG 3kg, Gula Pasir",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Batik Sentosa #51 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bengkel Subur #52",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.146955,111.906802,081234567152,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-52,"Jahit Baju, Potong Rambut, Servis Elektronik",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Bengkel Subur #52 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Batik Lestari #53",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.157322,111.911473,081234567153,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-53,"Es Teh, Sate Kambing, Soto Ayam",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Batik Lestari #53 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Pupuk Lestari #54",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.151984,111.893810,081234567154,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-54,"Instalasi Listrik, Jahit Baju",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Pupuk Lestari #54 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Warung Rasa #55",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.151394,111.892114,081234567155,,,umkm-test-55,"Sembako, Gula Pasir",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Warung Rasa #55 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Batik Indah #56",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.146468,111.914036,081234567156,,,umkm-test-56,"Pestisida Alami, Alat Tani",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Batik Indah #56 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Salon Indah #57",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.141270,111.907114,081234567157,,,umkm-test-57,"Beras Premium, Sembako, Minyak Goreng",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Salon Indah #57 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Fotokopi Lancar #58",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.145287,111.914328,081234567158,,,umkm-test-58,"Bibit Padi, Pestisida Alami, Bibit Jagung",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Fotokopi Lancar #58 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Sate Nikmat #59",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.145687,111.908340,081234567159,,,umkm-test-59,"Instalasi Listrik, Jahit Baju, Potong Rambut",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Sate Nikmat #59 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Pupuk Sejahtera #60",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.148078,111.894487,081234567160,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-60,"Jahit Baju, Instalasi Listrik, Potong Rambut",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Pupuk Sejahtera #60 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bakso Barokah #61",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.154615,111.893018,081234567161,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-61,"Caping, Hiasan Dinding",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Bakso Barokah #61 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bakso Mandiri #62",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.149353,111.899647,081234567162,,,umkm-test-62,"Cuci Pakaian, Instalasi Listrik",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Bakso Mandiri #62 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Nasi Goreng Jaya #63",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.140571,111.901335,081234567163,,,umkm-test-63,"Pestisida Alami, Pupuk Organik, Bibit Jagung",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Nasi Goreng Jaya #63 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bakso Indah #64",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.140660,111.910807,081234567164,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-64,"Cuci Pakaian, Jahit Baju",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Bakso Indah #64 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Soto Lancar #65",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.152869,111.904201,081234567165,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-65,"Bibit Padi, Pestisida Alami",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Soto Lancar #65 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
